x	y	prec
981235,0268	990896,0171	376
1037799,947	1081782,008	446
1051832,469	1067956,585	454
1025593,981	1086730,598	461
1031043,692	1069912,694	523
1016916,629	984470,7539	535
1016379,162	1007482,947	561
1001576,712	1042491,942	578
1029281,647	1094108,219	601
1024490,659	1072608,371	625
1031618,365	1073916,172	645
1020812,879	1063329,065	646
976188,4785	1001270,063	647
964271,4514	951600,3225	648
1018979,796	1076753,596	694
1020064,756	1042494,677	697
1045913,062	1083058,745	706
1004415,513	1048916,99	711
970456,7041	1015061,831	717
1051459,489	1077533,273	731
1017237,61	1083885,902	733
987588,6732	1025739,525	735
1027698,707	1062004,408	736
1014521,971	1029599,274	749
1017129,09	1074596,697	753
967829,1031	1019497,325	767
973843,0541	1022226,457	769
980345,2659	1027289,239	786
947223,2983	1029992,454	787
1015638,568	993184,4142	794
1017924,942	1083443,738	801
979380,2402	985367,3243	802
1010830,773	1011164,397	813
977461,9529	1030109,944	825
1013127,476	1073058,688	838
991571,599	1030206,55	842
1008287,404	1034640,94	843
1040382,637	1062784,627	844
1008971,37	1064609,344	856
1038811,876	1076076,28	859
1005638,685	1004628,396	868
1007720,41	1047114,746	868
1037259,52	1096910,052	876
1017562,866	1068912,725	879
1022362,647	1071070,514	880
1017527,587	1076896,972	888
954102,02	932562,4907	892
983095,1745	1022223,835	895
1023048,528	1041268,067	898
977006,7745	991339,443	911
994190,5261	1044338,908	919
1002965,267	984347,4181	920
1025589,048	1099636,03	923
1030336,501	1089652,043	928
1030071,139	1062790,537	936
1012929,328	1065516,756	962
983099,3481	1040658,179	969
988680,623	982158,6166	979
936058,2588	967939,0287	1005
1017495,87	1070814,773	1008
1019412,685	1074752,12	1009
1041779,864	1043432,781	1011
954999,9345	1066613,745	1019
1018200,669	1088574,988	1031
1018213,076	1040658,493	1056
965645,1323	1022992,759	1060
1006270,139	1017334,432	1065
1038547,083	1053560,692	1086
936837,5361	985389,1505	1116
1002851,707	1053229,694	1148
994188,9404	1024068,918	1160
1042238,669	1055409,57	1163
1020383,972	1051087,189	1185
1053538,629	1054952,671	1189
1033010,07	1036970,108	1221
950887,519	923352,5065	1269
1059333,533	1047204,954	1274
917871,3282	977166,9645	1275
1037649,365	1052609,174	1280
1051467,504	1019485,776	1286
928478,0071	1065607,294	1288
1004779,956	1071365,661	1359
1042256,672	1024080,49	1377
916729,7965	979014,9808	1392
938724,3144	1027776,096	1396
1021921,79	1025907,564	1400
1013837,655	1069619,631	1400
953581,6886	1084441,44	1446
935019,1399	1027779,208	1448
1045497,66	1021317,715	1490
959580,1705	986237,2842	1542
953823,0481	1080758,692	1561
938933,8238	1052934,916	1664
1003432,871	948496,8322	1665
1015067,898	1071223,369	1700
970833,001	1041248,129	1709
973833,7815	994580,5031	1752
954851,6583	943653,6741	1752
940651,7744	1127305,437	1773
1043209,624	1006265,679	1778
1041474,871	1053108,921	1785
957193,1979	1005646,18	1814
964610,712	1040664,765	1900
1020244,853	990365,5764	1909
971088,2832	982284,5639	1957
1038381,658	1030669,32	2022
1012001,906	969850,916	2049
1051495,156	1027768,76	2068
1060499,476	1018098,987	2070
968532,8102	975385,097	2105
974814,9534	1073526,481	2107
1034856,435	1025912,432	2147
956890,6938	979504,0521	2168
961471,3468	1039527,311	2235
1060781,08	1012735,683	2264
965984,3848	1083361,407	2278
1061790,231	1013411,071	2286
981250,0199	1051717,077	2421
960917,3905	1040666,638	2461
1006374,186	964111,1071	2468
957244,4539	1092268,658	2605
1053960,353	1039592,308	2664
1066300,037	1020404,047	2759
1045956,391	1014859,764	2924
1073019,509	1024380,391	3269
1065782,796	1015515,56	3408
1073725,056	981704,3094	3466
1069102,758	1012731,611	3668
1065598,111	1010881,725	3710
1079543,009	991541,2673	3750
1074979,006	1028551,595	3776
949034,1703	983069,3837	3974
991600,3516	1085808,421	3986
